category,state,jobs_retained,total_loan_amount
"Plumbing, Heating, and Air-Conditioning Contractors",MD,4059,39351197.70
All Other Personal Services,NJ,4830,39332943.55
Sports and Recreation Instruction,CA,7874,39319799.15
Other Miscellaneous Durable Goods Merchant Wholesalers,FL,3401,39289387.21
Nail Salons,TX,8287,39268201.95
Landscape Architectural Services,CA,5169,39267297.91
Support Activities for Oil and Gas Operations,OK,3778,39243864.29
Limited-Service Restaurants,KY,11011,39225565.86
Drinking Places (Alcoholic Beverages),IL,12266,39211556.96
"Plumbing, Heating, and Air-Conditioning Contractors",WA,2941,39178177.03
All Other Miscellaneous Store Retailers (except Tobacco Stores),OR,5834,39127647.14
Limited-Service Restaurants,CT,9097,39089223.74
All Other Specialty Trade Contractors,NJ,3696,39059229.10
Administrative Management and General Management Consulting Services,VA,2546,38985833.01
Engineering Services,NY,2871,38948766.45
Offices of Physicians (except Mental Health Specialists),MS,3658,38916407.55
General Automotive Repair,MO,4718,38833204.73
Machine Shops,CA,3655,38818730.10
Offices of Physicians (except Mental Health Specialists),NV,5202,38769001.30
Women's Clothing Stores,CA,6219,38758025.67
Architectural Services,TX,3235,38713555.20
Electrical Contractors and Other Wiring Installation Contractors,NC,4176,38652685.56
Full-Service Restaurants,ID,9760,38539128.35
Offices of Real Estate Agents and Brokers,MD,3779,38536247.36
Residential Remodelers,OH,4936,38504306.50
Roofing Contractors,CA,5122,38489516.46
Lessors of Nonresidential Buildings (except Miniwarehouses),NY,3692,38453169.79
Offices of Dentists,ID,4378,38410075.58
"Offices of Physical, Occupational and Speech Therapists, and Audiologists",FL,4599,38375985.89
Electrical Contractors and Other Wiring Installation Contractors,MI,4017,38361201.07
"Offices of Physical, Occupational and Speech Therapists, and Audiologists",TX,5342,38345606.89
Insurance Agencies and Brokerages,MD,3161,38246610.97
Landscaping Services,VA,4279,38213205.46
"General Freight Trucking, Local",PA,3751,38094944.40
"Plumbing, Heating, and Air-Conditioning Contractors",MN,3611,38061613.05
Offices of Chiropractors,IL,5610,37919996.10
All Other Specialty Trade Contractors,GA,4797,37821973.83
All Other Specialty Trade Contractors,OH,4481,37812255.47
Used Car Dealers,FL,4026,37720771.39
Insurance Agencies and Brokerages,SC,3952,37714726.07
All Other Miscellaneous Store Retailers (except Tobacco Stores),MI,5868,37594879.51
Other Services to Buildings and Dwellings,CA,5790,37590037.88
"Independent Artists, Writers, and Performers",NY,4206,37546541.24
Gasoline Stations with Convenience Stores,FL,7557,37528585.63
Pharmacies and Drug Stores,FL,3553,37513682.76
Full-Service Restaurants,NE,10216,37504499.35
Electrical Contractors and Other Wiring Installation Contractors,WA,2933,37468105.25
Other Computer Related Services,CA,3606,37457371.81
Full-Service Restaurants,RI,7545,37412568.82
Drycleaning and Laundry Services (except Coin-Operated),CA,6778,37370027.17
Interior Design Services,CA,3225,37282221.87
Hotels (except Casino Hotels) and Motels,WI,8943,37276677.28
New Single-Family Housing Construction (except For-Sale Builders),MN,3895,37267831.70
Offices of Lawyers,OR,2967,37261094.95
All Other Miscellaneous Store Retailers (except Tobacco Stores),CO,4767,37240752.15
Insurance Agencies and Brokerages,OK,4540,37227669.18
Fitness and Recreational Sports Centers,MA,8596,37197721.89
All Other Miscellaneous Store Retailers (except Tobacco Stores),VA,5670,37127461.27
All Other Support Activities for Transportation,CA,6446,37051955.68
Offices of Lawyers,NV,4531,37051310.22
Janitorial Services,NY,7979,36985685.27
Veterinary Services,NY,3854,36976237.37
Hotels (except Casino Hotels) and Motels,CO,6512,36920082.48
Offices of Certified Public Accountants,GA,3393,36902939.95
Limited-Service Restaurants,OR,8224,36888256.76
"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",CA,3653,36750715.81
Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,TX,4705,36684022.34
All Other Specialty Trade Contractors,IL,4693,36523949.56
Offices of Mental Health Practitioners (except Physicians),CA,4392,36484518.39
Insurance Agencies and Brokerages,AL,3499,36479749.24
Religious Organizations,KY,6967,36394773.64
Other Management Consulting Services,NJ,3184,36393131.90
Offices of Real Estate Agents and Brokers,SC,3220,36367958.19
Hotels (except Casino Hotels) and Motels,SC,8399,36314510.00
Religious Organizations,KS,7226,36298276.99
Religious Organizations,CT,6008,36261506.54
"General Freight Trucking, Local",NJ,3938,36208580.11
Offices of Dentists,NE,3564,36122722.85
Limited-Service Restaurants,SC,9871,36109111.72
Nail Salons,FL,9044,36086223.31
All Other Miscellaneous Store Retailers (except Tobacco Stores),OH,5786,36081778.41
Nonresidential Property Managers,CA,3466,36079514.77
Architectural Services,FL,2541,35937721.02
Residential Property Managers,TX,4083,35799826.14
Administrative Management and General Management Consulting Services,PA,2785,35755713.92
Beauty Salons,VA,4684,35730962.05
"Automotive Body, Paint, and Interior Repair and Maintenance",FL,3694,35723035.64
All Other Amusement and Recreation Industries,CA,7396,35634743.05
Automotive Parts and Accessories Stores,TX,4375,35633708.67
Insurance Agencies and Brokerages,AZ,4740,35598953.48
Residential Remodelers,MD,4481,35528216.77
Veterinary Services,OH,4718,35509331.96
Other Performing Arts Companies,CA,2781,35479296.48
"All Other Professional, Scientific, and Technical Services",VA,2437,35453682.06
Car Washes,CA,7151,35400650.24
Offices of Real Estate Agents and Brokers,NV,4018,35348624.07
Freight Transportation Arrangement,TX,4553,35286064.62
Residential Remodelers,GA,4097,35167256.44
Offices of Chiropractors,PA,4319,35161571.45
"Plumbing, Heating, and Air-Conditioning Contractors",LA,4003,35106905.62
Pet Care (except Veterinary) Services,CA,5929,35065025.21
Commercial and Institutional Building Construction,NJ,3086,35019447.07
Offices of Chiropractors,NY,3769,34946769.08
Religious Organizations,MS,8015,34936627.09
Offices of Optometrists,FL,3365,34932998.35
"Beer, Wine, and Liquor Stores",NY,5168,34914213.84
"Plumbing, Heating, and Air-Conditioning Contractors",AZ,5623,34869558.06
Home Health Care Services,OH,10550,34836247.90
Child Day Care Services,VA,5782,34763104.47
Fitness and Recreational Sports Centers,NJ,9468,34742247.26
Administrative Management and General Management Consulting Services,GA,3165,34722368.31
Offices of Physicians (except Mental Health Specialists),OR,2565,34653164.08
Electrical Contractors and Other Wiring Installation Contractors,MN,3098,34546607.81
Offices of Physicians (except Mental Health Specialists),AR,2778,34544367.59
All Other Miscellaneous Schools and Instruction,FL,4867,34516143.32
Other Management Consulting Services,PA,3419,34511630.70
Offices of Lawyers,MS,3367,34466999.31
All Other Miscellaneous Ambulatory Health Care Services,NY,4345,34459100.37
Electrical Contractors and Other Wiring Installation Contractors,OH,3933,34401828.02
Insurance Agencies and Brokerages,IA,3336,34365445.34
Elementary and Secondary Schools,TX,7963,34342354.34
New Single-Family Housing Construction (except For-Sale Builders),MO,4395,34334562.73
"Beer, Wine, and Liquor Stores",CA,6929,34323635.59
"Offices of Physicians, Mental Health Specialists",TX,3387,34234447.61
"Automotive Body, Paint, and Interior Repair and Maintenance",IL,4136,34203405.65
Other Personal Care Services,TX,7753,34164217.97
"Offices of Physicians, Mental Health Specialists",FL,3557,34123741.93
"Plumbing, Heating, and Air-Conditioning Contractors",TN,3298,34089466.95
Limited-Service Restaurants,AL,9922,33979817.58
"General Freight Trucking, Long-Distance, Truckload",FL,3458,33912671.92
Graphic Design Services,CA,3026,33831052.86
Commercial and Institutional Building Construction,GA,3469,33744096.24
All Other Miscellaneous Store Retailers (except Tobacco Stores),NJ,4280,33732503.15
All Other Traveler Accommodation,NY,3116,33709757.93
Lessors of Nonresidential Buildings (except Miniwarehouses),FL,3877,33676425.03
"General Freight Trucking, Long-Distance, Truckload",IL,4700,33656246.91
"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",CA,2921,33651969.50
Electrical Contractors and Other Wiring Installation Contractors,CO,3017,33634432.96
Commercial and Institutional Building Construction,MI,3162,33583994.84
Dairy Cattle and Milk Production,CA,3600,33517235.30
Motion Picture and Video Production,NY,2462,33322652.86
Child Day Care Services,WI,7334,33261531.04
All Other Miscellaneous Store Retailers (except Tobacco Stores),MD,5465,33235972.31
All Other Specialty Trade Contractors,MI,3703,33113921.47
Other Scientific and Technical Consulting Services,TX,3802,33079728.54
All Other Personal Services,PA,3862,33058623.89
All Other Specialty Trade Contractors,VA,3085,33056087.08
New Single-Family Housing Construction (except For-Sale Builders),UT,6777,33055484.44
Administrative Management and General Management Consulting Services,NJ,2379,33054219.11
Tax Preparation Services,TX,5389,33033862.08
Other Miscellaneous Durable Goods Merchant Wholesalers,NY,2895,32927348.97
Residential Remodelers,MI,3714,32894080.28
Offices of Certified Public Accountants,MA,2304,32762191.29
Investment Advice,PA,2048,32757728.06
"Plumbing, Heating, and Air-Conditioning Contractors",SC,3660,32740173.76
Hotels (except Casino Hotels) and Motels,WA,5365,32724760.02
Furniture Stores,CA,3782,32673202.12
Drinking Places (Alcoholic Beverages),WI,10461,32666180.48
Jewelry Stores,NY,3340,32616244.59
Fitness and Recreational Sports Centers,PA,8469,32594438.06
Tax Preparation Services,FL,4435,32576703.75
Computer Systems Design Services,NY,2266,32557999.08
All Other Specialty Trade Contractors,NC,4023,32533677.27
All Other Specialty Trade Contractors,MA,3119,32503973.34
Offices of Certified Public Accountants,OH,3270,32467802.52
Child Day Care Services,MN,6817,32425798.11
Landscaping Services,CT,4347,32367859.51
Executive Search Services,CA,2979,32366752.50
Insurance Agencies and Brokerages,KY,3498,32331989.69
New Single-Family Housing Construction (except For-Sale Builders),TN,2797,32269453.37
Landscaping Services,MN,5267,32192458.30
Insurance Agencies and Brokerages,KS,3556,32175237.14
New Single-Family Housing Construction (except For-Sale Builders),OR,3203,32119964.38
Beauty Salons,NC,4807,32057015.82
"Plumbing, Heating, and Air-Conditioning Contractors",OK,4096,32056498.52
Offices of Chiropractors,WA,3123,31988862.94
Marketing Consulting Services,IL,2664,31957315.87
Other Management Consulting Services,VA,2315,31936392.45
Convenience Stores,NY,5540,31920898.68
Offices of Physicians (except Mental Health Specialists),HI,2680,31853150.14
General Medical and Surgical Hospitals,CA,3286,31848939.00
Religious Organizations,AZ,6743,31811589.16
Offices of Real Estate Agents and Brokers,WI,3311,31781880.92
Caterers,CA,5883,31771848.86
Landscaping Services,WA,3045,31699884.80
"General Freight Trucking, Local",IN,3329,31662040.46
Landscaping Services,MO,5015,31640719.11
Veterinary Services,GA,3898,31603220.99
Poured Concrete Foundation and Structure Contractors,TX,4733,31601039.23
Site Preparation Contractors,TX,3624,31582676.56
Full-Service Restaurants,WV,8146,31559673.00
Electronics Stores,CA,4476,31554824.78
New Single-Family Housing Construction (except For-Sale Builders),WI,3258,31516863.27
Beauty Salons,MI,6092,31503835.25
"Plumbing, Heating, and Air-Conditioning Contractors",CT,2568,31502932.31
All Other Miscellaneous Store Retailers (except Tobacco Stores),TN,4401,31443534.61
Drycleaning and Laundry Services (except Coin-Operated),TX,7837,31412260.34
Gasoline Stations with Convenience Stores,GA,7583,31383892.44
Offices of Dentists,HI,2587,31336866.10
Insurance Agencies and Brokerages,CT,2739,31332698.38
Beauty Salons,WI,5485,31323419.73
Other Management Consulting Services,MA,2279,31298853.79
Computer Systems Design Services,FL,3343,31180767.01
Beauty Salons,TN,4368,31158374.79
Religious Organizations,AR,5421,31135475.52
Other Personal Care Services,FL,5258,31090284.28
General Automotive Repair,AZ,4278,31069448.41
Offices of Certified Public Accountants,NC,3106,31067817.99
Child Day Care Services,MO,7465,31024700.92
All Other Traveler Accommodation,FL,2138,31024123.45
Residential Remodelers,NC,3453,30997504.27
Hotels (except Casino Hotels) and Motels,NJ,6080,30799781.39
Hotels (except Casino Hotels) and Motels,IN,6961,30713030.89
Offices of Optometrists,NY,3052,30684349.57
Electrical Contractors and Other Wiring Installation Contractors,VA,2275,30632702.95
Residential Remodelers,MN,3282,30614815.59
Offices of Real Estate Agents and Brokers,IN,2914,30556150.04
All Other Personal Services,NC,3561,30543808.53
Commercial and Institutional Building Construction,NC,3158,30524395.08
"General Freight Trucking, Local",WI,3517,30474377.30
"Automotive Body, Paint, and Interior Repair and Maintenance",PA,2695,30470199.73
Hotels (except Casino Hotels) and Motels,LA,7399,30451245.50
Sporting Goods Stores,CA,4832,30368031.76
Hotels (except Casino Hotels) and Motels,MO,6462,30360036.41
All Other Automotive Repair and Maintenance,CA,4230,30353787.88
Offices of Physicians (except Mental Health Specialists),UT,4773,30318499.15
New Single-Family Housing Construction (except For-Sale Builders),AZ,5552,30234104.02
Administrative Management and General Management Consulting Services,OH,3553,30212162.49
"Specialized Freight (except Used Goods) Trucking, Local",TX,3134,30196379.20
All Other Telecommunications,CA,3535,30188118.25
Beef Cattle Ranching and Farming,TX,4248,30183828.85
Offices of Chiropractors,MN,3781,30083963.55
General Automotive Repair,TN,3622,30056225.23
Full-Service Restaurants,MT,8686,30032058.05
Hotels (except Casino Hotels) and Motels,AZ,7558,29959489.66
All Other Business Support Services,MD,2208,29916276.75
Food Service Contractors,CA,5929,29900486.16
Veterinary Services,IL,3976,29887035.90
Administrative Management and General Management Consulting Services,CO,2455,29823984.79
All Other Specialty Trade Contractors,WA,3226,29820001.27
Religious Organizations,OR,4492,29782951.61
Landscaping Services,TN,4130,29780444.03
All Other Specialty Trade Contractors,CO,3048,29762168.06
Beauty Salons,WA,4719,29758595.03
Exterminating and Pest Control Services,FL,3625,29718139.95
Travel Agencies,CA,3323,29700247.75
"All Other Professional, Scientific, and Technical Services",NC,2605,29696549.96
Commercial and Institutional Building Construction,MA,2128,29668747.11
Custom Computer Programming Services,VA,1627,29655740.80
Fitness and Recreational Sports Centers,IL,7960,29620269.99
All Other Specialty Trade Contractors,MN,3142,29619291.87
Offices of Real Estate Agents and Brokers,AL,3406,29604270.95
Engineering Services,PA,2108,29583060.45
New Multifamily Housing Construction (except For-Sale Builders),CA,3224,29567008.47
Offices of Certified Public Accountants,MI,2538,29435412.05
