category,state,jobs_retained,total_loan_amount
Electrical Contractors and Other Wiring Installation Contractors,PA,3710,47899363.23
Elementary and Secondary Schools,CA,8319,47787446.45
Limited-Service Restaurants,CO,10302,47634302.37
"Plumbing, Heating, and Air-Conditioning Contractors",VA,3746,47528463.91
All Other Traveler Accommodation,CA,4399,47489796.96
Insurance Agencies and Brokerages,MA,3282,47355774.50
Wineries,CA,5521,47296397.12
Hotels (except Casino Hotels) and Motels,PA,9459,47284678.07
Miscellaneous Intermediation,CA,7691,47280082.51
New Single-Family Housing Construction (except For-Sale Builders),CO,4856,47103745.27
Convenience Stores,TX,10202,47014400.80
Corn Farming,NE,5463,46899575.34
Limited-Service Restaurants,MO,13549,46887509.24
New Single-Family Housing Construction (except For-Sale Builders),NJ,3563,46885729.75
Offices of Physicians (except Mental Health Specialists),KY,5228,46868912.30
Drinking Places (Alcoholic Beverages),FL,9078,46679968.92
Beauty Salons,GA,6815,46575438.68
Full-Service Restaurants,ME,10685,46281751.70
Offices of Real Estate Agents and Brokers,MI,4461,46251371.38
New Single-Family Housing Construction (except For-Sale Builders),VA,3412,46247715.78
Full-Service Restaurants,UT,17294,46206613.17
Religious Organizations,LA,9714,46131956.23
Convenience Stores,CA,8151,46048558.06
All Other Miscellaneous Store Retailers (except Tobacco Stores),WA,6071,46014352.45
Electrical Contractors and Other Wiring Installation Contractors,IL,4850,45950587.44
Beauty Salons,MA,6488,45926708.27
Investment Advice,NY,2702,45881877.13
Offices of Certified Public Accountants,NJ,3409,45706277.56
Full-Service Restaurants,NH,8959,45687071.00
Offices of Dentists,NV,5914,45616632.68
"All Other Professional, Scientific, and Technical Services",NJ,4266,45515872.47
Limited-Service Restaurants,WI,13350,45503555.29
Offices of Physicians (except Mental Health Specialists),WA,3119,45404161.60
General Automotive Repair,NC,4887,45343069.27
"Plumbing, Heating, and Air-Conditioning Contractors",WI,4290,45195465.85
Painting and Wall Covering Contractors,FL,6065,45100595.01
Offices of Physicians (except Mental Health Specialists),CT,3577,45060413.44
Office Administrative Services,NY,5879,45055237.18
"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers",CA,5506,45054549.45
Elementary and Secondary Schools,FL,8094,44969410.42
Hotels (except Casino Hotels) and Motels,OH,9804,44949369.03
Insurance Agencies and Brokerages,IN,4705,44761093.68
Other Services to Buildings and Dwellings,FL,7765,44546346.66
New Single-Family Housing Construction (except For-Sale Builders),GA,4338,44524691.99
Religious Organizations,OK,9604,44503717.36
Offices of Physicians (except Mental Health Specialists),MO,4173,44500155.45
Residential Remodelers,NJ,4517,44435950.69
Roofing Contractors,FL,5997,44134183.12
Janitorial Services,TX,10311,44096950.77
Child Day Care Services,NC,8564,44078696.96
Offices of Real Estate Agents and Brokers,MN,4079,44051189.54
General Automotive Repair,NJ,5095,43873171.46
All Other Miscellaneous Ambulatory Health Care Services,TX,8346,43871643.90
Other Scientific and Technical Consulting Services,CA,3848,43797291.91
Investment Advice,FL,3325,43771926.37
General Automotive Repair,MN,4462,43682259.22
Hotels (except Casino Hotels) and Motels,MI,10138,43602260.42
Offices of Lawyers,WI,3347,43513485.55
Other Accounting Services,NY,4226,43495345.28
Administrative Management and General Management Consulting Services,IL,3726,43474429.14
Landscaping Services,NC,6607,43295149.85
Residential Remodelers,MA,3809,43250334.36
"Plumbing, Heating, and Air-Conditioning Contractors",MO,5319,43127907.37
Commercial and Institutional Building Construction,PA,3847,43083058.31
Offices of Dentists,IA,4080,43081575.74
Residential Remodelers,VA,3702,43079788.04
Residential Remodelers,WA,3987,43069345.63
Offices of Certified Public Accountants,PA,3259,43035921.40
"All Other Professional, Scientific, and Technical Services",PA,3472,43026923.10
Beauty Salons,OH,8184,42663045.39
Other Personal Care Services,CA,8510,42657935.49
All Other Personal Services,IL,5180,42649073.95
Offices of Physicians (except Mental Health Specialists),IN,4163,42479136.42
New Single-Family Housing Construction (except For-Sale Builders),OH,4627,42341917.39
Insurance Agencies and Brokerages,CO,4376,42309564.62
Offices of Lawyers,KY,4203,42303668.19
Advertising Agencies,CA,3605,42294098.25
Offices of Dentists,AR,3838,42269896.93
Commercial and Institutional Building Construction,IL,4075,42258451.20
Investment Advice,TX,3753,42215386.89
Offices of Physicians (except Mental Health Specialists),SC,3853,42211372.61
General Automotive Repair,CO,3945,42128669.83
Limited-Service Restaurants,AZ,13039,42086339.77
"Plumbing, Heating, and Air-Conditioning Contractors",CO,4422,42058066.18
Civic and Social Organizations,CA,6508,42057728.52
Nail Salons,NY,10611,41959706.05
Offices of Certified Public Accountants,IL,4176,41881759.10
Other Management Consulting Services,GA,3920,41881568.77
Lessors of Nonresidential Buildings (except Miniwarehouses),TX,7676,41644082.84
"Automotive Body, Paint, and Interior Repair and Maintenance",NY,3947,41637580.69
Limited-Service Restaurants,UT,14335,41576952.36
Full-Service Restaurants,HI,7785,41565842.85
Hotels (except Casino Hotels) and Motels,IL,9729,41508828.83
Jewelry Stores,CA,5068,41477904.17
Automotive Parts and Accessories Stores,CA,4519,41460326.16
Lessors of Residential Buildings and Dwellings,FL,4645,41408993.01
Computer Systems Design Services,TX,4144,41394963.76
Roofing Contractors,TX,4933,41302952.49
Other Management Consulting Services,IL,3639,41215822.32
Limited-Service Restaurants,MN,11414,41196018.17
Full-Service Restaurants,NM,9315,41057017.33
Offices of Real Estate Agents and Brokers,MO,4887,40928417.99
Offices of All Other Miscellaneous Health Practitioners,NY,4412,40816142.14
Religious Organizations,IA,8567,40812978.63
"Plumbing, Heating, and Air-Conditioning Contractors",IN,4535,40778549.69
Other Individual and Family Services,CA,6613,40709438.17
All Other Business Support Services,NY,4790,40706109.37
All Other Miscellaneous Manufacturing,CA,3966,40577527.75
Commercial and Institutional Building Construction,OH,4713,40574233.28
Custom Computer Programming Services,FL,3453,40520796.02
General Automotive Repair,WI,5383,40434849.03
Insurance Agencies and Brokerages,WI,4339,40346538.91
Limited-Service Restaurants,LA,9125,40344833.37
Electrical Contractors and Other Wiring Installation Contractors,GA,4048,40266304.49
Landscaping Services,GA,5701,40177009.56
"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",NY,3291,40121244.83
General Automotive Repair,WA,3166,40106260.38
General Automotive Repair,IN,4582,40072002.12
Insurance Agencies and Brokerages,WA,3052,39897685.77
Freight Transportation Arrangement,FL,4027,39871333.52
General Line Grocery Merchant Wholesalers,FL,5882,39802955.09
General Automotive Repair,MD,4000,39764916.05
All Other Specialty Food Stores,CA,8354,39607983.09
Supermarkets and Other Grocery (except Convenience) Stores,FL,7336,39603233.70
Snack and Nonalcoholic Beverage Bars,TX,11592,39504716.82
Offices of Dentists,MS,4132,39476575.61
Limited-Service Restaurants,OK,12497,39453152.06
Child Day Care Services,MA,6025,39438210.07
All Other Miscellaneous Crop Farming,CA,6167,39413021.51
All Other Miscellaneous Ambulatory Health Care Services,FL,5956,39411237.40
"General Freight Trucking, Long-Distance, Truckload",CA,4999,39400973.00
